player,successful_pass_percentage,passes_intercepted_per90,successful_tackles_per90,aerial_balls_won_percentage
Idrissa Gueye,2.53,2.39,2.84,1.43
Onyinye Ndidi,2.4,2.27,2.7,1.66
Wan-Bissaka,2.19,2.41,2.58,1.77
Nathaniel Mendez-Laing,1.86,1.19,2.28,1.05
Bernardo,2.18,1.75,2.21,1.78
I. Hayden,2.38,1.93,2.08,1.72
Dale Stephens,2.51,1.66,2.06,1.59
Romain Saiss,2.31,2.05,2.05,2.05
Maitland-Niles,2.35,1.73,2.01,1
Oriol Romeu,2.38,2.19,1.94,1.62
Ryan Fredericks,2.13,1.08,1.91,1.88
Ricardo Pereira,2.34,1.73,1.9,1.4
Yan Valery,1.86,1.16,1.89,1.31
Obiang,2.4,0.96,1.85,1.33
Juninho Bacuna,2.26,1.4,1.84,1.28
Mario Lemina,2.58,2.4,1.84,1.93
Philip Billing,2.36,2.18,1.81,2.24
Declan Rice,2.59,1.56,1.8,1.7
Lowton,2.08,1.49,1.8,2
Milivojevic,2.4,1.92,1.79,1.74
Ander Herrera,2.63,2.37,1.79,0.79
Schar,2.04,3.01,1.75,1.49
J. Ayew,2.33,0.53,1.74,0.79
Moutinho,2.54,1.18,1.72,1.03
Franck Zambo,2.62,2.01,1.72,1.25
Capoue,2.53,2.63,1.71,1.72
Aaron Mooy,2.41,0.62,1.66,1.07
Harry Arter,2.42,0.94,1.66,0.9
Fernandinho,2.62,1.55,1.63,1.62
Kayal,2.14,1.44,1.63,1.12
Henderson,2.62,1.36,1.63,1.63
Hojbjerg,2.49,1.95,1.6,1.85
Leander Dendoncker,2.38,1.41,1.59,1.56
Azpilicueta,2.61,1.14,1.59,1.74
Will Hughes,2.29,0.92,1.59,1.11
Jahanbakhsh,2.08,0.97,1.59,1.14
Joe Bryan,2.26,1.19,1.57,1.37
Thomas Davies,2.4,1.48,1.57,0.92
Alexander Zinchenko,2.74,1.56,1.56,1.26
Manquillo,2.1,1.39,1.56,1.46
Mustafi,2.46,2,1.55,1.99
Danny Rose,2.21,1.2,1.55,1.84
Kenedy,2.17,2.14,1.54,0.95
Bamba,2.07,2.95,1.53,2.01
Yves Bissouma,2.45,1.68,1.53,1.4
Kongolo,2.34,2.18,1.52,1.8
Jonathan Hogg,2.5,2.73,1.52,1.43
Matip,2.61,1.82,1.52,2.11
Adam Masina,2.42,1.52,1.52,1.82
Clyne,2.28,1.29,1.51,1
Marcos Alonso,2.55,1.27,1.5,1.65
Holebas,2.06,0.83,1.5,1.81
Kovacic,2.76,0.41,1.5,1.58
McArthur,2.38,1.14,1.49,1.37
Lucas Torreira,2.62,1.55,1.48,1.34
Ben Davies,2.48,1.13,1.47,1.65
Fred,2.59,1.38,1.47,0.56
Vestergaard,2.31,1.55,1.46,1.84
Trippier,2.37,0.91,1.46,1.58
Lee Peltier,1.8,1.05,1.46,1.61
Willy Boly,2.43,2.05,1.45,2.04
Montoya,2.4,1.99,1.45,1.41
