player,minutes_played,attempted_passes,Clearances_leading_to_possession,Completed_passes,successful_pass_percentage,Clearences_leading_to_possession_per90
"Jorginho Frello",3165,3119,35,2782,0.8920,0.9953
Laporte,3057,2998,95,2768,0.9233,2.7969
"Virgil Van Dijk",3385,3037,199,2724,0.8969,5.2910
RŮdiger,2874,NULL,95,2321,NULL,2.9749
"David Luiz",3239,2620,144,2306,0.8802,4.0012
Azpilicueta,3403,2483,75,2160,0.8699,1.9835
Walker,2777,2389,50,2153,0.9012,1.6205
Alderweireld,2923,2358,167,2087,0.8851,5.1420
"A. Robertson",3219,2396,47,1993,0.8318,1.3141
Xhaka,2501,2245,54,1916,0.8535,1.9432
GŮndogan,2135,NULL,18,1811,NULL,0.7588
Fernandinho,2381,2050,69,1793,0.8746,2.6081
Kante,3095,2021,26,1776,0.8788,0.7561
"David Silva",2409,2015,13,1770,0.8784,0.4857
Pogba,3009,2068,36,1713,0.8283,1.0768
"John Stones",1763,1751,60,1649,0.9417,3.0630
Doucour_,3062,NULL,54,1619,NULL,1.5872
Wijnaldum,2736,1769,24,1611,0.9107,0.7895
"Marcos Alonso",2761,1881,86,1600,0.8506,2.8033
Matic,2440,1836,52,1596,0.8693,1.9180
Milivojevic,3420,1986,66,1589,0.8001,1.7368
"Onyinye Ndidi",3298,1984,80,1585,0.7989,2.1831
Moutinho,3038,1863,40,1580,0.8481,1.1850
"Ruben Neves",3009,1940,44,1576,0.8124,1.3161
Hazard,2925,1819,4,1534,0.8433,0.1231
Henderson,1982,1740,13,1518,0.8724,0.5903
Eriksen,2771,1872,7,1517,0.8104,0.2274
"Harry Maguire",2599,1747,152,1495,0.8558,5.2636
Hojbjerg,2764,1793,28,1486,0.8288,0.9117
Capoue,2946,1749,91,1476,0.8439,2.7800
"Bernardo Silva",2853,1706,24,1469,0.8611,0.7571
"Idrissa Gueye",2825,1739,44,1467,0.8436,1.4018
Ak_,3412,NULL,230,1459,NULL,6.0668
Mustafi,2615,1765,161,1445,0.8187,5.5411
Coady,3420,1688,127,1423,0.8430,3.3421
"Matteo Guendouzi",2142,1597,24,1402,0.8779,1.0084
"Lucas Torreira",2379,1590,31,1390,0.8742,1.1728
"Willy Boly",3168,1715,173,1389,0.8099,4.9148
"Jean Seri",2250,1592,14,1385,0.8700,0.5600
Shaw,2592,1658,80,1381,0.8329,2.7778
Fabinho,2012,1610,26,1374,0.8534,1.1630
Kovacic,1744,1468,18,1351,0.9203,0.9289
Vertonghen,1914,1531,72,1340,0.8752,3.3856
Nilsson-Lindel_f,2602,NULL,118,1329,NULL,4.0815
"Trent Alexander-Arnold",2466,1697,62,1315,0.7749,2.2628
"Declan Rice",3004,1518,54,1312,0.8643,1.6178
"Jefferson Lerma",2510,1562,84,1299,0.8316,3.0120
"Davinson Sŕnchez",1943,NULL,101,1294,NULL,4.6783
Noble,2308,1507,12,1287,0.8540,0.4679
"Michael Keane",2969,1591,183,1287,0.8089,5.5473
"Jonathan Hogg",2375,1545,18,1286,0.8324,0.6821
"Christopher Schindler",3262,1551,134,1285,0.8285,3.6971
"van Aanholt",3197,1610,80,1284,0.7975,2.2521
"Harry Winks",1592,1388,19,1274,0.9179,1.0741
"Felipe Anderson",3051,1666,12,1266,0.7599,0.3540
Sokratis,2199,1387,108,1240,0.8940,4.4202
Cairney,2198,1373,11,1238,0.9017,0.4504
"Lewis Dunk",3153,1490,194,1233,0.8275,5.5376
Trippier,2278,1542,61,1218,0.7899,2.4100
"Ben Chilwell",3240,1684,129,1218,0.7233,3.5833
Zouma,2612,1442,120,1205,0.8356,4.1348
"Ricardo Pereira",3125,1532,106,1196,0.7807,3.0528
"Steve Cook",2787,1500,199,1190,0.7933,6.4263
Milner,1786,1401,22,1185,0.8458,1.1086
"James Maddison",2848,1404,5,1176,0.8376,0.1580
Chambers,2586,1484,107,1173,0.7904,3.7239
Sakho,2417,1321,132,1171,0.8864,4.9152
Sissoko,2337,1348,21,1169,0.8672,0.8087
Matip,1535,1341,76,1166,0.8695,4.4560
"Le Marchand",2252,1386,122,1154,0.8326,4.8757
Otamendi,1234,1245,55,1152,0.9253,4.0113
Kompany,1223,1227,55,1142,0.9307,4.0474
"Dale Stephens",2487,1353,46,1132,0.8367,1.6647
"Ben Mee",3420,1502,232,1124,0.7483,6.1053
McArthur,3072,1400,44,1109,0.7921,1.2891
Digne,2966,1457,94,1108,0.7605,2.8523
Odoi,2594,1332,144,1094,0.8213,4.9961
"Ashley Westwood",2822,1419,40,1085,0.7646,1.2757
Sterling,2776,1263,4,1084,0.8583,0.1297
"Alexander Zinchenko",1153,1184,16,1083,0.9147,1.2489
Cork,3313,1329,79,1079,0.8119,2.1461
"Ryan Bennett",3060,1346,124,1071,0.7957,3.6471
"Ashley Young",2569,1376,58,1067,0.7754,2.0319
Willian,2108,1230,11,1054,0.8569,0.4696
Cathcart,3098,1280,179,1043,0.8148,5.2001
"Roberto Firmino",2617,1278,15,1033,0.8083,0.5159
"Aaron Mooy",2327,1276,20,1024,0.8025,0.7735
Monreal,1861,1168,54,1023,0.8759,2.6115
"Andr_ Gomes",1986,NULL,18,1018,NULL,0.8157
"Matt Doherty",3147,1399,84,1002,0.7162,2.4023
Ézil,1741,NULL,4,991,NULL,0.2068
Duffy,3088,1305,243,981,0.7517,7.0823
"Issa Diop",2970,1135,155,975,0.8590,4.6970
"Davy Pr_pper",2551,NULL,33,971,NULL,1.1642
"Nampalys Mendy",2088,1092,23,969,0.8874,0.9914
Zanka,2148,1173,82,963,0.8210,3.4358
Coleman,2560,1194,74,932,0.7806,2.6016
Pereyra,2821,1120,20,932,0.8321,0.6381
Mane,3085,1184,8,925,0.7813,0.2334
"Tim Ream",2049,1053,77,925,0.8784,3.3821
Tomkins,2562,1111,182,923,0.8308,6.3934
Pedro,1780,1066,8,922,0.8649,0.4045
"Ryan Fraser",3171,1195,19,919,0.7690,0.5393
"Eric Dier",1509,1082,43,919,0.8494,2.5646
"Franck Zambo",1519,1043,29,911,0.8734,1.7182
"Ben Davies",1839,1085,62,898,0.8276,3.0343
Kongolo,2721,1148,97,894,0.7787,3.2084
"Naby Keita",1394,1005,13,889,0.8846,0.8393
"Oriol Romeu",2139,1103,36,875,0.7933,1.5147
Evans,1994,1029,146,872,0.8474,6.5898
Barkley,1241,954,13,870,0.9119,0.9428
Alisson,3420,1076,31,864,0.8030,0.8158
"Ander Herrera",1404,980,21,860,0.8776,1.3462
Arrizabalaga,3240,1003,14,857,0.8544,0.3889
"Charlie Taylor",3240,1175,83,851,0.7243,2.3056
Wan-Bissaka,3135,1165,129,851,0.7305,3.7033
"Nathan Redmond",3275,1125,21,848,0.7538,0.5771
"Jamaal Lascelles",2745,1105,213,845,0.7647,6.9836
"Philip Billing",2190,1073,40,844,0.7866,1.6438
Jonny,2777,1075,53,836,0.7777,1.7177
"Dele Alli",1833,1028,17,825,0.8025,0.8347
Smalling,2128,954,106,822,0.8616,4.4831
Salah,3256,1079,4,819,0.7590,0.1106
Koscielny,1330,891,70,819,0.9192,4.7368
Townsend,3016,1027,16,809,0.7877,0.4775
"Matt Ritchie",2939,1101,61,803,0.7293,1.8680
Snodgrass,2221,969,18,796,0.8215,0.7294
"James Tarkowski",3087,1135,235,788,0.6943,6.8513
"Wilfred Zaha",3040,1006,1,778,0.7734,0.0296
Gosling,1738,970,45,772,0.7959,2.3303
"RaĎl Jim_nez",3122,NULL,39,771,NULL,1.1243
"Kiko FemenŐa",2046,NULL,63,770,NULL,2.7713
Lloris,2970,1047,32,770,0.7354,0.9697
"Ederson Moraes",3420,920,18,760,0.8261,0.4737
Kolasinac,1890,971,25,754,0.7765,1.1905
"Gylfi Sigurdsson",3127,990,23,754,0.7616,0.6620
"Alex Iwobi",1972,951,10,740,0.7781,0.4564
Mitrovic,3281,1026,53,739,0.7203,1.4538
"Will Hughes",2433,960,22,733,0.7635,0.8138
Masuaku,1757,880,56,733,0.8330,2.8685
Schmeichel,3420,1118,29,732,0.6547,0.7632
Surman,1439,839,32,729,0.8689,2.0014
Mariappa,1924,882,119,725,0.8220,5.5665
Morgan,1926,892,104,721,0.8083,4.8598
"Joe Bryan",2347,951,70,716,0.7529,2.6843
"Adam Smith",2072,872,57,715,0.8200,2.4759
Sane,1867,847,2,715,0.8442,0.0964
Lovren,986,820,51,711,0.8671,4.6552
Jones,1262,754,62,698,0.9257,4.4216
"Mario Lemina",1614,809,30,696,0.8603,1.6729
"Joe Gomez",1060,787,39,689,0.8755,3.3113
Montoya,2166,858,63,686,0.7995,2.6177
"Danny Rose",1798,929,20,685,0.7374,1.0011
Schar,2003,994,137,677,0.6811,6.1558
"Cyrus Christie",1945,884,80,675,0.7636,3.7018
Mahrez,1337,797,2,675,0.8469,0.1346
Pritchard,2089,896,7,671,0.7489,0.3016
Camarasa,2578,885,25,665,0.7514,0.8728
Fred,1042,769,8,664,0.8635,0.6910
Ogbonna,1871,794,99,664,0.8363,4.7622
"Hector Bellerin",1533,785,33,661,0.8420,1.9374
"Fabiŕn Balbuena",2014,NULL,172,661,NULL,7.6862
Daniels,1585,840,43,661,0.7869,2.4416
Cresswell,1590,812,42,661,0.8140,2.3774
Zabaleta,2091,860,86,660,0.7674,3.7016
Aguero,2479,771,3,654,0.8482,0.1089
"Jesse Lingard",1669,761,5,652,0.8568,0.2696
Vestergaard,2030,845,171,650,0.7692,7.5813
"Heung-Min Son",2045,751,4,644,0.8575,0.1760
Leno,2835,922,32,638,0.6920,1.0159
Mkhitaryan,1644,796,11,636,0.7990,0.6022
Ramsey,1328,773,3,634,0.8202,0.2033
L_we,2056,NULL,53,632,NULL,2.3200
"David Brooks",2276,856,23,626,0.7313,0.9095
"Jordan Pickford",3420,1118,33,623,0.5572,0.8684
"Bruno Ecuele",3375,957,171,621,0.6489,4.5600
L_ssl,2777,NULL,31,616,NULL,1.0047
Kouyat_,1897,NULL,31,613,NULL,1.4707
Gro¤,1876,NULL,22,612,NULL,1.0554
Bernard,2127,806,12,607,0.7531,0.5078
"De Bruyne",974,725,2,607,0.8372,0.1848
Mata,1293,700,5,602,0.8600,0.3480
"Ayoze P_rez",2927,NULL,28,590,NULL,0.8609
"Yves Bissouma",1768,715,25,585,0.8182,1.2726
Bertrand,2160,774,45,584,0.7545,1.8750
"Jan Bednarek",2150,822,168,580,0.7056,7.0326
King,2970,802,13,577,0.7195,0.3939
"Jack Stephens",1697,767,94,575,0.7497,4.9853
Lacazette,2505,771,29,572,0.7419,1.0419
"I. Hayden",1864,720,28,572,0.7944,1.3519
Holebas,2394,833,79,571,0.6855,2.9699
Bernardo,1750,785,66,571,0.7274,3.3943
"De Gea",3420,948,23,569,0.6002,0.6053
"Romain Saiss",1144,737,58,568,0.7707,4.5629
Diam_,2166,NULL,36,567,NULL,1.4958
"Diogo Jota",2368,745,11,563,0.7557,0.4181
"Anthony Martial",1624,707,8,561,0.7935,0.4433
"Maximilian Meyer",1410,663,18,556,0.8386,1.1489
Deulofeu,2079,718,3,556,0.7744,0.1299
"Martin Dubravka",3420,1033,35,552,0.5344,0.9211
Ward-Prowse,1942,720,52,551,0.7653,2.4099
"Lucas Moura",2128,723,24,550,0.7607,1.0150
Hadergjonaj,1840,726,27,546,0.7521,1.3207
Tielemans,1091,641,11,545,0.8502,0.9074
Richarlison,2678,793,39,543,0.6847,1.3107
"Juninho Bacuna",1415,714,11,539,0.7549,0.6996
Dummett,1987,758,123,539,0.7111,5.5712
"Joe Ralls",1960,778,28,538,0.6915,1.2857
Loftus-Cheek,983,610,5,536,0.8787,0.4578
"Aron Gunnarsson",2275,749,54,536,0.7156,2.1363
"Erik Durm",2052,774,37,534,0.6899,1.6228
"Solly March",2474,756,26,534,0.7063,0.9458
Fabianski,3420,1071,27,532,0.4967,0.7105
"Harry Arter",2006,658,20,531,0.8070,0.8973
"DeAndre Yedlin",2474,732,71,525,0.7172,2.5829
Rashford,2342,666,24,520,0.7808,0.9223
Shaqiri,1058,639,6,519,0.8122,0.5104
"Ben Foster",3420,1151,44,515,0.4474,1.1579
RondŃn,2608,NULL,38,515,NULL,1.3113
Aubameyang,2731,692,18,512,0.7399,0.5932
Gray,1996,657,13,510,0.7763,0.5862
"Ki Sung Yueng",1302,597,19,508,0.8509,1.3134
"Ryan Sessegnon",2294,687,38,504,0.7336,1.4908
"Troy Deeney",2547,825,28,502,0.6085,0.9894
Bennett,2641,694,84,498,0.7176,2.8626
"Jeff Hendrick",2070,659,25,496,0.7527,1.0870
Hoedt,1170,621,76,488,0.7858,5.8462
"Stuart Armstrong",1431,615,11,482,0.7837,0.6918
"Leander Dendoncker",1469,607,29,482,0.7941,1.7767
Fernŕndez,1482,NULL,102,482,NULL,6.1943
"Francis Simon",1227,655,67,480,0.7328,4.9144
Arnautovic,1999,640,5,479,0.7484,0.2251
Schlupp,1665,630,21,478,0.7587,1.1351
Knockaert,1833,616,6,474,0.7695,0.2946
"Matthew Ryan",3060,926,20,464,0.5011,0.5882
"Sean Morrison",3040,737,200,463,0.6282,5.9211
"Michail Antonio",2099,668,21,455,0.6811,0.9004
Janmaat,1522,599,61,454,0.7579,3.6071
Bong,1805,602,45,447,0.7425,2.2438
Shelvey,944,629,13,446,0.7091,1.2394
Lowton,1748,638,71,442,0.6928,3.6556
"Cedric Soares",1494,594,50,435,0.7323,3.0120
Obiang,1120,536,15,429,0.8004,1.2054
Lejeune,1055,563,44,429,0.7620,3.7536
"Sergio Rico",2610,795,34,428,0.5384,1.1724
"Maya Yoshida",1519,556,100,421,0.7572,5.9250
"Bruno Saltor",1136,510,26,420,0.8235,2.0599
Walcott,2122,576,6,418,0.7257,0.2545
Albrighton,1626,621,24,409,0.6586,1.3284
Kabasele,1587,550,106,407,0.7400,6.0113
"Rui PatrŐcio",3329,NULL,15,407,NULL,0.4055
SchŮrrle,1649,NULL,16,406,NULL,0.8733
"Thomas Davies",976,506,9,404,0.7984,0.8299
Kane,2427,551,14,403,0.7314,0.5192
Clyne,1253,518,28,394,0.7606,2.0112
"Alfie Mawson",1130,477,64,393,0.8239,5.0973
Babel,1260,469,10,389,0.8294,0.7143
Wood,2594,599,26,388,0.6477,0.9021
Stanislas,1025,496,15,385,0.7762,1.3171
Bardsley,1672,555,66,383,0.6901,3.5526
Bamba,2475,550,175,380,0.6909,6.3636
Lichtsteiner,940,480,23,377,0.7854,2.2021
"Neil Etheridge",3420,1144,30,370,0.3234,0.7895
"Tom Smith",1142,487,26,366,0.7515,2.0490
Mounie,1776,557,15,360,0.6463,0.7601
"H_lder Costa",1345,NULL,5,360,NULL,0.3346
Gudmundsson,1749,491,31,356,0.7251,1.5952
Lukaku,2130,534,19,354,0.6629,0.8028
Maitland-Niles,986,451,11,354,0.7849,1.0041
"Glenn Murray",2512,606,16,353,0.5825,0.5732
"Adam Masina",1004,436,36,352,0.8073,3.2271
Lamela,972,422,1,351,0.8318,0.0926
"Dwight McNeil",1597,453,32,343,0.7572,1.8034
Kenedy,1343,464,19,335,0.7220,1.2733
Begovic,2160,530,19,322,0.6075,0.7917
Hoilett,2142,443,25,317,0.7156,1.0504
Atsu,1488,383,14,314,0.8198,0.8468
"Matt Targett",1187,443,31,310,0.6998,2.3505
"Ryan Fredericks",1085,436,39,309,0.7087,3.2350
A.Barnes,2386,518,24,306,0.5907,0.9053
Vietto,985,386,5,304,0.7876,0.4569
"Diogo Dalot",1014,423,30,300,0.7092,2.6627
"Callum Wilson",2534,441,15,297,0.6735,0.5328
"Gabriel Jesus",1021,357,3,294,0.8235,0.2644
Ings,1666,392,7,279,0.7117,0.3782
Vardy,2728,416,27,273,0.6563,0.8908
Kelly,1110,357,85,269,0.7535,6.8919
"Callum Paterson",1996,553,28,267,0.4828,1.2625
A.McCarthy,2250,585,23,263,0.4496,0.9200
Calvert-Lewin,1775,430,19,263,0.6116,0.9634
Hart,1710,565,16,254,0.4496,0.8421
Heaton,1710,541,14,250,0.4621,0.7368
Success,1039,349,11,249,0.7135,0.9528
"Yan Valery",1714,399,57,247,0.6190,2.9930
Manquillo,1099,352,48,246,0.6989,3.9308
HiguaŐn,1092,NULL,5,244,NULL,0.4121
H.Barnes,1009,311,5,240,0.7717,0.4460
Locadia,1229,332,9,240,0.7229,0.6591
Chicharito,1337,322,8,229,0.7112,0.5385
"Bobby Reid",1422,311,12,222,0.7138,0.7595
Lennon,1215,277,12,219,0.7906,0.8889
Guaita,1755,499,19,212,0.4248,0.9744
"K. Iheanacho",930,276,2,211,0.7645,0.1935
Kachunga,1181,296,9,211,0.7128,0.6859
Hennessey,1575,450,16,210,0.4667,0.9143
